S.No,Product_name,Selling_price,Original_price,Ratings_count,Reviews_count,Display,Camera,Processor,Warranty,Battery,Info,RAM,ROM,Is_Expandable,Expandable_Upto,Colours,Discount,Warranty Status
1,Apple iPhone 16,64900,69900,203686,6511,15.49 cm (6.1 inch) Super Retina XDR Display,48MP + 12MP | 12MP Front Camera,"A18 Chip, 6 Core Processor Processor",1 year warranty for phone and 1 year warranty for in Box Accessories.,,,,128 GB,No,,"Black, Pink, Teal, Ultramarine, White",7.2,YES
2,Apple iPhone 14,54900,,321494,11935,15.49 cm (6.1 inch) Super Retina XDR Display,12MP + 12MP | 12MP Front Camera,"A15 Bionic Chip, 6 Core Processor Processor",1 year warranty for phone and 1 year warranty for in Box Accessories.,,,,128 GB,No,,"Blue, Midnight, Purple, Starlight, Yellow",No discount,YES
3,Apple iPhone 17,82900,,3975,227,16.0 cm (6.3 inch) Super Retina XDR Display,48MP + 48MP | 18MP Front Camera,"A19 Chip, 6 Core Processor Processor",Apple One (1) Year Limited Warranty,,,,256 GB,No,,"Black, Lavender, Mist Blue, Sage, White",No discount,YES
4,Apple iPhone 15,54900,59900,271335,9480,15.49 cm (6.1 inch) Super Retina XDR Display,48MP + 12MP | 12MP Front Camera,"A16 Bionic Chip, 6 Core Processor Processor",1 year warranty for phone and 1 year warranty for in Box Accessories.,,,,128 GB,No,,"Black, Blue, Green, Pink, Yellow",8.3,YES
5,Apple iPhone 16 Pro,119900,,29038,1248,16.0 cm (6.3 inch) Super Retina XDR Display,48MP + 48MP + 12MP | 12MP Front Camera,"A18 Pro Chip, 6 Core Processor Processor",1 year warranty for phone and 1 year warranty for in Box Accessories.,,,,256 GB,No,,"Black Titanium, Desert Titanium, Natural Titanium, White Titanium",No discount,YES
6,Apple iPhone 16,74900,79900,203686,6511,15.49 cm (6.1 inch) Super Retina XDR Display,48MP + 12MP | 12MP Front Camera,"A18 Chip, 6 Core Processor Processor",1 year warranty for phone and 1 year warranty for in Box Accessories.,,,,256 GB,No,,"Black, Pink, Teal, Ultramarine, White",6.3,YES
7,Apple iPhone 16 Plus,84900,89900,4225,226,17.02 cm (6.7 inch) Super Retina XDR Display,48MP + 12MP | 12MP Front Camera,"A18 Chip, 6 Core Processor Processor",1 year warranty for phone and 1 year warranty for in Box Accessories.,,,,256 GB,No,,"Black, Pink, Teal, Ultramarine, White",5.6,YES
8,Apple iPhone 13,49900,,295091,13999,15.49 cm (6.1 inch) Super Retina XDR Display,12MP + 12MP | 12MP Front Camera,A15 Bionic Chip Processor,1 year warranty for phone and 1 year warranty for in Box Accessories.,,,,128 GB,No,,"Blue, Green, Midnight, Pink, Starlight",No discount,YES
9,Apple iPhone Air,99900,119900,65,4,16.51 cm (6.5 inch) Super Retina XDR Display,48MP Rear Camera | 18MP Front Camera,"A19 Chip, 6 Core Processor Processor",Apple One (1) Year Limited Warranty,,,,256 GB,No,,"Light Gold, Sky Blue, Space Black",16.7,YES
10,Apple iPhone 16 Pro Max,134900,,17147,886,17.53 cm (6.9 inch) Super Retina XDR Display,48MP + 48MP + 12MP | 12MP Front Camera,"A18 Pro Chip, 6 Core Processor Processor",1 year warranty for phone and 1 year warranty for in Box Accessories.,,,,256 GB,No,,"Black Titanium, Desert Titanium, Natural Titanium, White Titanium",No discount,YES
11,Apple iPhone 16 Pro,139900,,29038,1248,16.0 cm (6.3 inch) Super Retina XDR Display,48MP + 48MP + 12MP | 12MP Front Camera,"A18 Pro Chip, 6 Core Processor Processor",1 year warranty for phone and 1 year warranty for in Box Accessories.,,,,512 GB,No,,"Black Titanium, Desert Titanium, Natural Titanium, White Titanium",No discount,YES
12,Apple iPhone 16 Plus,74900,79900,4225,226,17.02 cm (6.7 inch) Super Retina XDR Display,48MP + 12MP | 12MP Front Camera,"A18 Chip, 6 Core Processor Processor",1 year warranty for phone and 1 year warranty for in Box Accessories.,,,,128 GB,No,,"Black, Pink, Teal, Ultramarine, White",6.3,YES
13,Apple iPhone 14,64900,,321494,11935,15.49 cm (6.1 inch) Super Retina XDR Display,12MP + 12MP | 12MP Front Camera,"A15 Bionic Chip, 6 Core Processor Processor",1 year warranty for phone and 1 year warranty for in Box Accessories.,,,,256 GB,No,,"Blue, Midnight, Purple, Starlight, Yellow",No discount,YES
14,Apple iPhone 16e,59900,,1780,115,15.49 cm (6.1 inch) Super Retina XDR Display,48MP Rear Camera | 12MP Front Camera,"A18 Chip, 6 Core Processor",1 year warranty for phone and 1 year warranty for in Box Accessories.,,,,128 GB,No,,"Black, White",No discount,YES
15,Apple iPhone 16 Pro,109900,,29038,1248,16.0 cm (6.3 inch) Super Retina XDR Display,48MP + 48MP + 12MP | 12MP Front Camera,"A18 Pro Chip, 6 Core Processor Processor",1 year warranty for phone and 1 year warranty for in Box Accessories.,,,,128 GB,No,,"Black Titanium, Desert Titanium, Natural Titanium, White Titanium",No discount,YES
16,Apple iPhone 17,102900,,3975,227,16.0 cm (6.3 inch) Super Retina XDR Display,48MP + 48MP | 18MP Front Camera,"A19 Chip, 6 Core Processor Processor",Apple One (1) Year Limited Warranty,,,,512 GB,No,,"Black, Lavender",No discount,YES
17,Apple iPhone 17 Pro,134900,,757,53,16.0 cm (6.3 inch) Super Retina XDR Display,48MP + 48MP + 48MP | 18MP Front Camera,"A19 Chip, 6 Core Processor Processor",Apple One (1) Year Limited Warranty,,,,256 GB,No,,"Cosmic Orange, Deep Blue, Silver",No discount,YES
18,Apple iPhone 16e,69900,,1780,115,15.49 cm (6.1 inch) Super Retina XDR Display,48MP Rear Camera | 12MP Front Camera,"A18 Chip, 6 Core Processor",1 year warranty for phone and 1 year warranty for in Box Accessories.,,,,256 GB,No,,Black,No discount,YES
19,Apple iPhone 14 Plus,69900,,86856,4755,17.02 cm (6.7 inch) Super Retina XDR Display,12MP + 12MP | 12MP Front Camera,"A15 Bionic Chip, 6 Core Processor Processor",1 year warranty for phone and 1 year warranty for in Box Accessories.,,,,128 GB,No,,"Blue, Midnight, Purple, Starlight, Yellow",No discount,YES
20,Apple iPhone 16 Pro Max,154900,,17206,890,17.53 cm (6.9 inch) Super Retina XDR Display,48MP + 48MP + 12MP | 12MP Front Camera,"A18 Pro Chip, 6 Core Processor Processor",1 year warranty for phone and 1 year warranty for in Box Accessories.,,,,512 GB,No,,"Black Titanium, Desert Titanium, Natural Titanium, White Titanium",No discount,YES
21,Apple iPhone 16 Pro Max,174900,,17206,890,17.53 cm (6.9 inch) Super Retina XDR Display,48MP + 48MP + 12MP | 12MP Front Camera,"A18 Pro Chip, 6 Core Processor Processor",1 year warranty for phone and 1 year warranty for in Box Accessories.,,,,1 TB,No,,"Black Titanium, Desert Titanium, Natural Titanium, White Titanium",No discount,YES
22,Apple iPhone 15 Plus,69900,,47571,2598,17.02 cm (6.7 inch) Super Retina XDR Display,48MP + 12MP | 12MP Front Camera,"A16 Bionic Chip, 6 Core Processor Processor",1 year warranty for phone and 1 year warranty for in Box Accessories.,,,,128 GB,No,,"Black, Blue, Green, Pink, Yellow",No discount,YES
