Product_name,Colour,Specification,Selling_price,Original_price,Ratings_count,Reviews_count
Apple iPhone 16,Black,"{'ROM': '128 GB ROM', 'Display': '15.49 cm (6.1 inch) Super Retina XDR Display', 'Camera': '48MP + 12MP | 12MP Front Camera', 'Processor': 'A18 Chip, 6 Core Processor Processor', 'Warranty': '1 year warranty for phone and 1 year warranty for in Box Accessories.'}",64900,69900,203686,6511
Apple iPhone 14,Starlight,"{'ROM': '128 GB ROM', 'Display': '15.49 cm (6.1 inch) Super Retina XDR Display', 'Camera': '12MP + 12MP | 12MP Front Camera', 'Processor': 'A15 Bionic Chip, 6 Core Processor Processor', 'Warranty': '1 year warranty for phone and 1 year warranty for in Box Accessories.'}",54900,,321494,11935
Apple iPhone 17,Lavender,"{'ROM': '256 GB ROM', 'Display': '16.0 cm (6.3 inch) Super Retina XDR Display', 'Camera': '48MP + 48MP | 18MP Front Camera', 'Processor': 'A19 Chip, 6 Core Processor Processor', 'Warranty': 'Apple One (1) Year Limited Warranty'}",82900,,3975,227
Apple iPhone 16,Ultramarine,"{'ROM': '128 GB ROM', 'Display': '15.49 cm (6.1 inch) Super Retina XDR Display', 'Camera': '48MP + 12MP | 12MP Front Camera', 'Processor': 'A18 Chip, 6 Core Processor Processor', 'Warranty': '1 year warranty for phone and 1 year warranty for in Box Accessories.'}",64900,69900,203686,6511
Apple iPhone 15,Black,"{'ROM': '128 GB ROM', 'Display': '15.49 cm (6.1 inch) Super Retina XDR Display', 'Camera': '48MP + 12MP | 12MP Front Camera', 'Processor': 'A16 Bionic Chip, 6 Core Processor Processor', 'Warranty': '1 year warranty for phone and 1 year warranty for in Box Accessories.'}",54900,59900,271335,9480
Apple iPhone 16,Teal,"{'ROM': '128 GB ROM', 'Display': '15.49 cm (6.1 inch) Super Retina XDR Display', 'Camera': '48MP + 12MP | 12MP Front Camera', 'Processor': 'A18 Chip, 6 Core Processor Processor', 'Warranty': '1 year warranty for phone and 1 year warranty for in Box Accessories.'}",64900,69900,203686,6511
Apple iPhone 16,White,"{'ROM': '128 GB ROM', 'Display': '15.49 cm (6.1 inch) Super Retina XDR Display', 'Camera': '48MP + 12MP | 12MP Front Camera', 'Processor': 'A18 Chip, 6 Core Processor Processor', 'Warranty': '1 year warranty for phone and 1 year warranty for in Box Accessories.'}",64900,69900,203686,6511
Apple iPhone 17,Black,"{'ROM': '256 GB ROM', 'Display': '16.0 cm (6.3 inch) Super Retina XDR Display', 'Camera': '48MP + 48MP | 18MP Front Camera', 'Processor': 'A19 Chip, 6 Core Processor Processor', 'Warranty': 'Apple One (1) Year Limited Warranty'}",82900,,3975,227
Apple iPhone 17,Sage,"{'ROM': '256 GB ROM', 'Display': '16.0 cm (6.3 inch) Super Retina XDR Display', 'Camera': '48MP + 48MP | 18MP Front Camera', 'Processor': 'A19 Chip, 6 Core Processor Processor', 'Warranty': 'Apple One (1) Year Limited Warranty'}",82900,,3975,227
Apple iPhone 14,Blue,"{'ROM': '128 GB ROM', 'Display': '15.49 cm (6.1 inch) Super Retina XDR Display', 'Camera': '12MP + 12MP | 12MP Front Camera', 'Processor': 'A15 Bionic Chip, 6 Core Processor Processor', 'Warranty': '1 year warranty for phone and 1 year warranty for in Box Accessories.'}",54900,,321494,11935
Apple iPhone 16 Pro,White Titanium,"{'ROM': '256 GB ROM', 'Display': '16.0 cm (6.3 inch) Super Retina XDR Display', 'Camera': '48MP + 48MP + 12MP | 12MP Front Camera', 'Processor': 'A18 Pro Chip, 6 Core Processor Processor', 'Warranty': '1 year warranty for phone and 1 year warranty for in Box Accessories.'}",119900,,29038,1248
Apple iPhone 16,Black,"{'ROM': '256 GB ROM', 'Display': '15.49 cm (6.1 inch) Super Retina XDR Display', 'Camera': '48MP + 12MP | 12MP Front Camera', 'Processor': 'A18 Chip, 6 Core Processor Processor', 'Warranty': '1 year warranty for phone and 1 year warranty for in Box Accessories.'}",74900,79900,203686,6511
Apple iPhone 16 Plus,Black,"{'ROM': '256 GB ROM', 'Display': '17.02 cm (6.7 inch) Super Retina XDR Display', 'Camera': '48MP + 12MP | 12MP Front Camera', 'Processor': 'A18 Chip, 6 Core Processor Processor', 'Warranty': '1 year warranty for phone and 1 year warranty for in Box Accessories.'}",84900,89900,4225,226
Apple iPhone 16,Teal,"{'ROM': '256 GB ROM', 'Display': '15.49 cm (6.1 inch) Super Retina XDR Display', 'Camera': '48MP + 12MP | 12MP Front Camera', 'Processor': 'A18 Chip, 6 Core Processor Processor', 'Warranty': '1 year warranty for phone and 1 year warranty for in Box Accessories.'}",74900,79900,203686,6511
Apple iPhone 16,Pink,"{'ROM': '256 GB ROM', 'Display': '15.49 cm (6.1 inch) Super Retina XDR Display', 'Camera': '48MP + 12MP | 12MP Front Camera', 'Processor': 'A18 Chip, 6 Core Processor Processor', 'Warranty': '1 year warranty for phone and 1 year warranty for in Box Accessories.'}",74900,79900,203686,6511
Apple iPhone 13,Starlight,"{'ROM': '128 GB ROM', 'Display': '15.49 cm (6.1 inch) Super Retina XDR Display', 'Camera': '12MP + 12MP | 12MP Front Camera', 'Processor': 'A15 Bionic Chip Processor', 'Warranty': '1 year warranty for phone and 1 year warranty for in Box Accessories.'}",49900,,295091,13999
Apple iPhone 16,Pink,"{'ROM': '128 GB ROM', 'Display': '15.49 cm (6.1 inch) Super Retina XDR Display', 'Camera': '48MP + 12MP | 12MP Front Camera', 'Processor': 'A18 Chip, 6 Core Processor Processor', 'Warranty': '1 year warranty for phone and 1 year warranty for in Box Accessories.'}",64900,69900,203686,6511
Apple iPhone 16,White,"{'ROM': '256 GB ROM', 'Display': '15.49 cm (6.1 inch) Super Retina XDR Display', 'Camera': '48MP + 12MP | 12MP Front Camera', 'Processor': 'A18 Chip, 6 Core Processor Processor', 'Warranty': '1 year warranty for phone and 1 year warranty for in Box Accessories.'}",74900,79900,203686,6511
Apple iPhone 16 Pro,Desert Titanium,"{'ROM': '256 GB ROM', 'Display': '16.0 cm (6.3 inch) Super Retina XDR Display', 'Camera': '48MP + 48MP + 12MP | 12MP Front Camera', 'Processor': 'A18 Pro Chip, 6 Core Processor Processor', 'Warranty': '1 year warranty for phone and 1 year warranty for in Box Accessories.'}",119900,,29038,1248
Apple iPhone Air,Sky Blue,"{'ROM': '256 GB ROM', 'Display': '16.51 cm (6.5 inch) Super Retina XDR Display', 'Camera': '48MP Rear Camera | 18MP Front Camera', 'Processor': 'A19 Chip, 6 Core Processor Processor', 'Warranty': 'Apple One (1) Year Limited Warranty'}",99900,119900,65,4
Apple iPhone 16 Pro Max,Black Titanium,"{'ROM': '256 GB ROM', 'Display': '17.53 cm (6.9 inch) Super Retina XDR Display', 'Camera': '48MP + 48MP + 12MP | 12MP Front Camera', 'Processor': 'A18 Pro Chip, 6 Core Processor Processor', 'Warranty': '1 year warranty for phone and 1 year warranty for in Box Accessories.'}",134900,,17147,886
Apple iPhone 16 Pro,Desert Titanium,"{'ROM': '512 GB ROM', 'Display': '16.0 cm (6.3 inch) Super Retina XDR Display', 'Camera': '48MP + 48MP + 12MP | 12MP Front Camera', 'Processor': 'A18 Pro Chip, 6 Core Processor Processor', 'Warranty': '1 year warranty for phone and 1 year warranty for in Box Accessories.'}",139900,,29038,1248
Apple iPhone 16 Plus,Teal,"{'ROM': '128 GB ROM', 'Display': '17.02 cm (6.7 inch) Super Retina XDR Display', 'Camera': '48MP + 12MP | 12MP Front Camera', 'Processor': 'A18 Chip, 6 Core Processor Processor', 'Warranty': '1 year warranty for phone and 1 year warranty for in Box Accessories.'}",74900,79900,4225,226
Apple iPhone 14,Blue,"{'ROM': '256 GB ROM', 'Display': '15.49 cm (6.1 inch) Super Retina XDR Display', 'Camera': '12MP + 12MP | 12MP Front Camera', 'Processor': 'A15 Bionic Chip, 6 Core Processor Processor', 'Warranty': '1 year warranty for phone and 1 year warranty for in Box Accessories.'}",64900,,321494,11935
Apple iPhone 16 Pro Max,Natural Titanium,"{'ROM': '256 GB ROM', 'Display': '17.53 cm (6.9 inch) Super Retina XDR Display', 'Camera': '48MP + 48MP + 12MP | 12MP Front Camera', 'Processor': 'A18 Pro Chip, 6 Core Processor Processor', 'Warranty': '1 year warranty for phone and 1 year warranty for in Box Accessories.'}",144990,,17147,886
Apple iPhone 14,Midnight,"{'ROM': '128 GB ROM', 'Display': '15.49 cm (6.1 inch) Super Retina XDR Display', 'Camera': '12MP + 12MP | 12MP Front Camera', 'Processor': 'A15 Bionic Chip, 6 Core Processor Processor', 'Warranty': '1 year warranty for phone and 1 year warranty for in Box Accessories.'}",54900,,321494,11935
Apple iPhone 17,White,"{'ROM': '256 GB ROM', 'Display': '16.0 cm (6.3 inch) Super Retina XDR Display', 'Camera': '48MP + 48MP | 18MP Front Camera', 'Processor': 'A19 Chip, 6 Core Processor Processor', 'Warranty': 'Apple One (1) Year Limited Warranty'}",82900,,3975,227
Apple iPhone 16 Pro Max,White Titanium,"{'ROM': '256 GB ROM', 'Display': '17.53 cm (6.9 inch) Super Retina XDR Display', 'Camera': '48MP + 48MP + 12MP | 12MP Front Camera', 'Processor': 'A18 Pro Chip, 6 Core Processor Processor', 'Warranty': '1 year warranty for phone and 1 year warranty for in Box Accessories.'}",134900,,17147,886
Apple iPhone 16 Plus,Ultramarine,"{'ROM': '256 GB ROM', 'Display': '17.02 cm (6.7 inch) Super Retina XDR Display', 'Camera': '48MP + 12MP | 12MP Front Camera', 'Processor': 'A18 Chip, 6 Core Processor Processor', 'Warranty': '1 year warranty for phone and 1 year warranty for in Box Accessories.'}",84900,89900,4225,226
Apple iPhone 16 Plus,White,"{'ROM': '256 GB ROM', 'Display': '17.02 cm (6.7 inch) Super Retina XDR Display', 'Camera': '48MP + 12MP | 12MP Front Camera', 'Processor': 'A18 Chip, 6 Core Processor Processor', 'Warranty': '1 year warranty for phone and 1 year warranty for in Box Accessories.'}",84900,89900,4225,226
Apple iPhone 16e,Black,"{'ROM': '128 GB ROM', 'Display': '15.49 cm (6.1 inch) Super Retina XDR Display', 'Camera': '48MP Rear Camera | 12MP Front Camera', 'Processor': 'A18 Chip, 6 Core Processor', 'Warranty': '1 year warranty for phone and 1 year warranty for in Box Accessories.'}",59900,,1780,115
Apple iPhone 14,Starlight,"{'ROM': '256 GB ROM', 'Display': '15.49 cm (6.1 inch) Super Retina XDR Display', 'Camera': '12MP + 12MP | 12MP Front Camera', 'Processor': 'A15 Bionic Chip, 6 Core Processor Processor', 'Warranty': '1 year warranty for phone and 1 year warranty for in Box Accessories.'}",64900,,321494,11935
Apple iPhone 16 Pro,Natural Titanium,"{'ROM': '128 GB ROM', 'Display': '16.0 cm (6.3 inch) Super Retina XDR Display', 'Camera': '48MP + 48MP + 12MP | 12MP Front Camera', 'Processor': 'A18 Pro Chip, 6 Core Processor Processor', 'Warranty': '1 year warranty for phone and 1 year warranty for in Box Accessories.'}",109900,,29038,1248
Apple iPhone 16,Ultramarine,"{'ROM': '256 GB ROM', 'Display': '15.49 cm (6.1 inch) Super Retina XDR Display', 'Camera': '48MP + 12MP | 12MP Front Camera', 'Processor': 'A18 Chip, 6 Core Processor Processor', 'Warranty': '1 year warranty for phone and 1 year warranty for in Box Accessories.'}",74900,79900,203686,6511
Apple iPhone 16 Pro,Natural Titanium,"{'ROM': '512 GB ROM', 'Display': '16.0 cm (6.3 inch) Super Retina XDR Display', 'Camera': '48MP + 48MP + 12MP | 12MP Front Camera', 'Processor': 'A18 Pro Chip, 6 Core Processor Processor', 'Warranty': '1 year warranty for phone and 1 year warranty for in Box Accessories.'}",139900,,29038,1248
Apple iPhone 13,Blue,"{'ROM': '128 GB ROM', 'Display': '15.49 cm (6.1 inch) Super Retina XDR Display', 'Camera': '12MP + 12MP | 12MP Front Camera', 'Processor': 'A15 Bionic Chip Processor', 'Warranty': '1 year warranty for phone and 1 year warranty for in Box Accessories.'}",49900,,295091,13999
Apple iPhone 16 Pro,White Titanium,"{'ROM': '128 GB ROM', 'Display': '16.0 cm (6.3 inch) Super Retina XDR Display', 'Camera': '48MP + 48MP + 12MP | 12MP Front Camera', 'Processor': 'A18 Pro Chip, 6 Core Processor Processor', 'Warranty': '1 year warranty for phone and 1 year warranty for in Box Accessories.'}",109900,,29038,1248
Apple iPhone 17,Mist Blue,"{'ROM': '256 GB ROM', 'Display': '16.0 cm (6.3 inch) Super Retina XDR Display', 'Camera': '48MP + 48MP | 18MP Front Camera', 'Processor': 'A19 Chip, 6 Core Processor Processor', 'Warranty': 'Apple One (1) Year Limited Warranty'}",82900,,3975,227
Apple iPhone 17,Black,"{'ROM': '512 GB ROM', 'Display': '16.0 cm (6.3 inch) Super Retina XDR Display', 'Camera': '48MP + 48MP | 18MP Front Camera', 'Processor': 'A19 Chip, 6 Core Processor Processor', 'Warranty': 'Apple One (1) Year Limited Warranty'}",102900,,3975,227
Apple iPhone 13,Midnight,"{'ROM': '128 GB ROM', 'Display': '15.49 cm (6.1 inch) Super Retina XDR Display', 'Camera': '12MP + 12MP | 12MP Front Camera', 'Processor': 'A15 Bionic Chip Processor', 'Warranty': '1 year warranty for phone and 1 year warranty for in Box Accessories.'}",49900,,295091,13999
Apple iPhone 16 Plus,Black,"{'ROM': '128 GB ROM', 'Display': '17.02 cm (6.7 inch) Super Retina XDR Display', 'Camera': '48MP + 12MP | 12MP Front Camera', 'Processor': 'A18 Chip, 6 Core Processor Processor', 'Warranty': '1 year warranty for phone and 1 year warranty for in Box Accessories.'}",74900,79900,4225,226
Apple iPhone 16 Pro,Black Titanium,"{'ROM': '256 GB ROM', 'Display': '16.0 cm (6.3 inch) Super Retina XDR Display', 'Camera': '48MP + 48MP + 12MP | 12MP Front Camera', 'Processor': 'A18 Pro Chip, 6 Core Processor Processor', 'Warranty': '1 year warranty for phone and 1 year warranty for in Box Accessories.'}",119900,,29038,1248
Apple iPhone 17 Pro,Deep Blue,"{'ROM': '256 GB ROM', 'Display': '16.0 cm (6.3 inch) Super Retina XDR Display', 'Camera': '48MP + 48MP + 48MP | 18MP Front Camera', 'Processor': 'A19 Chip, 6 Core Processor Processor', 'Warranty': 'Apple One (1) Year Limited Warranty'}",134900,,757,53
Apple iPhone 16e,Black,"{'ROM': '256 GB ROM', 'Display': '15.49 cm (6.1 inch) Super Retina XDR Display', 'Camera': '48MP Rear Camera | 12MP Front Camera', 'Processor': 'A18 Chip, 6 Core Processor', 'Warranty': '1 year warranty for phone and 1 year warranty for in Box Accessories.'}",69900,,1780,115
Apple iPhone 16 Pro,Natural Titanium,"{'ROM': '256 GB ROM', 'Display': '16.0 cm (6.3 inch) Super Retina XDR Display', 'Camera': '48MP + 48MP + 12MP | 12MP Front Camera', 'Processor': 'A18 Pro Chip, 6 Core Processor Processor', 'Warranty': '1 year warranty for phone and 1 year warranty for in Box Accessories.'}",119900,,29038,1248
Apple iPhone 14 Plus,Starlight,"{'ROM': '128 GB ROM', 'Display': '17.02 cm (6.7 inch) Super Retina XDR Display', 'Camera': '12MP + 12MP | 12MP Front Camera', 'Processor': 'A15 Bionic Chip, 6 Core Processor Processor', 'Warranty': '1 year warranty for phone and 1 year warranty for in Box Accessories.'}",69900,,86856,4755
Apple iPhone 17 Pro,Cosmic Orange,"{'ROM': '256 GB ROM', 'Display': '16.0 cm (6.3 inch) Super Retina XDR Display', 'Camera': '48MP + 48MP + 48MP | 18MP Front Camera', 'Processor': 'A19 Chip, 6 Core Processor Processor', 'Warranty': 'Apple One (1) Year Limited Warranty'}",134900,,757,53
Apple iPhone 16 Pro,Desert Titanium,"{'ROM': '128 GB ROM', 'Display': '16.0 cm (6.3 inch) Super Retina XDR Display', 'Camera': '48MP + 48MP + 12MP | 12MP Front Camera', 'Processor': 'A18 Pro Chip, 6 Core Processor Processor', 'Warranty': '1 year warranty for phone and 1 year warranty for in Box Accessories.'}",109900,,29038,1248
Apple iPhone 16 Plus,Pink,"{'ROM': '256 GB ROM', 'Display': '17.02 cm (6.7 inch) Super Retina XDR Display', 'Camera': '48MP + 12MP | 12MP Front Camera', 'Processor': 'A18 Chip, 6 Core Processor Processor', 'Warranty': '1 year warranty for phone and 1 year warranty for in Box Accessories.'}",84900,89900,4225,226
Apple iPhone 14,Midnight,"{'ROM': '256 GB ROM', 'Display': '15.49 cm (6.1 inch) Super Retina XDR Display', 'Camera': '12MP + 12MP | 12MP Front Camera', 'Processor': 'A15 Bionic Chip, 6 Core Processor Processor', 'Warranty': '1 year warranty for phone and 1 year warranty for in Box Accessories.'}",64900,,321494,11935
Apple iPhone 16 Pro,White Titanium,"{'ROM': '512 GB ROM', 'Display': '16.0 cm (6.3 inch) Super Retina XDR Display', 'Camera': '48MP + 48MP + 12MP | 12MP Front Camera', 'Processor': 'A18 Pro Chip, 6 Core Processor Processor', 'Warranty': '1 year warranty for phone and 1 year warranty for in Box Accessories.'}",139900,,29038,1248
Apple iPhone 16 Pro,Black Titanium,"{'ROM': '512 GB ROM', 'Display': '16.0 cm (6.3 inch) Super Retina XDR Display', 'Camera': '48MP + 48MP + 12MP | 12MP Front Camera', 'Processor': 'A18 Pro Chip, 6 Core Processor Processor', 'Warranty': '1 year warranty for phone and 1 year warranty for in Box Accessories.'}",139900,,29038,1248
Apple iPhone 16 Plus,Teal,"{'ROM': '256 GB ROM', 'Display': '17.02 cm (6.7 inch) Super Retina XDR Display', 'Camera': '48MP + 12MP | 12MP Front Camera', 'Processor': 'A18 Chip, 6 Core Processor Processor', 'Warranty': '1 year warranty for phone and 1 year warranty for in Box Accessories.'}",84900,89900,4225,226
Apple iPhone 16 Pro Max,Natural Titanium,"{'ROM': '512 GB ROM', 'Display': '17.53 cm (6.9 inch) Super Retina XDR Display', 'Camera': '48MP + 48MP + 12MP | 12MP Front Camera', 'Processor': 'A18 Pro Chip, 6 Core Processor Processor', 'Warranty': '1 year warranty for phone and 1 year warranty for in Box Accessories.'}",154900,,17206,890
Apple iPhone 17,Lavender,"{'ROM': '512 GB ROM', 'Display': '16.0 cm (6.3 inch) Super Retina XDR Display', 'Camera': '48MP + 48MP | 18MP Front Camera', 'Processor': 'A19 Chip, 6 Core Processor Processor', 'Warranty': 'Apple One (1) Year Limited Warranty'}",102900,,4077,232
Apple iPhone 15,Pink,"{'ROM': '128 GB ROM', 'Display': '15.49 cm (6.1 inch) Super Retina XDR Display', 'Camera': '48MP + 12MP | 12MP Front Camera', 'Processor': 'A16 Bionic Chip, 6 Core Processor Processor', 'Warranty': '1 year warranty for phone and 1 year warranty for in Box Accessories.'}",54900,59900,271335,9480
Apple iPhone 16 Pro Max,Natural Titanium,"{'ROM': '1 TB ROM', 'Display': '17.53 cm (6.9 inch) Super Retina XDR Display', 'Camera': '48MP + 48MP + 12MP | 12MP Front Camera', 'Processor': 'A18 Pro Chip, 6 Core Processor Processor', 'Warranty': '1 year warranty for phone and 1 year warranty for in Box Accessories.'}",174900,,17206,890
Apple iPhone 15 Plus,Black,"{'ROM': '128 GB ROM', 'Display': '17.02 cm (6.7 inch) Super Retina XDR Display', 'Camera': '48MP + 12MP | 12MP Front Camera', 'Processor': 'A16 Bionic Chip, 6 Core Processor Processor', 'Warranty': '1 year warranty for phone and 1 year warranty for in Box Accessories.'}",69900,,47571,2598
Apple iPhone 16 Plus,Ultramarine,"{'ROM': '128 GB ROM', 'Display': '17.02 cm (6.7 inch) Super Retina XDR Display', 'Camera': '48MP + 12MP | 12MP Front Camera', 'Processor': 'A18 Chip, 6 Core Processor Processor', 'Warranty': '1 year warranty for phone and 1 year warranty for in Box Accessories.'}",74900,79900,4225,226
Apple iPhone 15,Blue,"{'ROM': '256 GB ROM', 'Display': '15.49 cm (6.1 inch) Super Retina XDR Display', 'Camera': '48MP + 12MP | 12MP Front Camera', 'Processor': 'A16 Bionic Chip, 6 Core Processor Processor', 'Warranty': '1 year warranty for phone and 1 year warranty for in Box Accessories.'}",64900,69900,271335,9480
Apple iPhone 17 Pro,Silver,"{'ROM': '256 GB ROM', 'Display': '16.0 cm (6.3 inch) Super Retina XDR Display', 'Camera': '48MP + 48MP + 48MP | 18MP Front Camera', 'Processor': 'A19 Chip, 6 Core Processor Processor', 'Warranty': 'Apple One (1) Year Limited Warranty'}",134900,,757,53
Apple iPhone 15,Black,"{'ROM': '256 GB ROM', 'Display': '15.49 cm (6.1 inch) Super Retina XDR Display', 'Camera': '48MP + 12MP | 12MP Front Camera', 'Processor': 'A16 Bionic Chip, 6 Core Processor Processor', 'Warranty': '1 year warranty for phone and 1 year warranty for in Box Accessories.'}",64900,69900,271335,9480
Apple iPhone 15,Blue,"{'ROM': '128 GB ROM', 'Display': '15.49 cm (6.1 inch) Super Retina XDR Display', 'Camera': '48MP + 12MP | 12MP Front Camera', 'Processor': 'A16 Bionic Chip, 6 Core Processor Processor', 'Warranty': '1 year warranty for phone and 1 year warranty for in Box Accessories.'}",54900,59900,271335,9480
Apple iPhone 16 Pro,Desert Titanium,"{'ROM': '1 TB ROM', 'Display': '16.0 cm (6.3 inch) Super Retina XDR Display', 'Camera': '48MP + 48MP + 12MP | 12MP Front Camera', 'Processor': 'A18 Pro Chip, 6 Core Processor Processor', 'Warranty': '1 year warranty for phone and 1 year warranty for in Box Accessories.'}",159900,,29038,1248
Apple iPhone 16 Pro,White Titanium,"{'ROM': '1 TB ROM', 'Display': '16.0 cm (6.3 inch) Super Retina XDR Display', 'Camera': '48MP + 48MP + 12MP | 12MP Front Camera', 'Processor': 'A18 Pro Chip, 6 Core Processor Processor', 'Warranty': '1 year warranty for phone and 1 year warranty for in Box Accessories.'}",159900,,29038,1248
Apple iPhone Air,Cloud White,"{'ROM': '512 GB ROM', 'Display': '16.51 cm (6.5 inch) Super Retina XDR Display', 'Camera': '48MP Rear Camera | 18MP Front Camera', 'Processor': 'A19 Chip, 6 Core Processor Processor', 'Warranty': 'Apple One (1) Year Limited Warranty'}",121900,139900,65,4
Apple iPhone 16 Plus,White,"{'ROM': '128 GB ROM', 'Display': '17.02 cm (6.7 inch) Super Retina XDR Display', 'Camera': '48MP + 12MP | 12MP Front Camera', 'Processor': 'A18 Chip, 6 Core Processor Processor', 'Warranty': '1 year warranty for phone and 1 year warranty for in Box Accessories.'}",74900,79900,4225,226
Apple iPhone 13,Pink,"{'ROM': '128 GB ROM', 'Display': '15.49 cm (6.1 inch) Super Retina XDR Display', 'Camera': '12MP + 12MP | 12MP Front Camera', 'Processor': 'A15 Bionic Chip Processor', 'Warranty': '1 year warranty for phone and 1 year warranty for in Box Accessories.'}",49900,,295091,13999
Apple iPhone 15,Pink,"{'ROM': '256 GB ROM', 'Display': '15.49 cm (6.1 inch) Super Retina XDR Display', 'Camera': '48MP + 12MP | 12MP Front Camera', 'Processor': 'A16 Bionic Chip, 6 Core Processor Processor', 'Warranty': '1 year warranty for phone and 1 year warranty for in Box Accessories.'}",64900,69900,271335,9480
Apple iPhone 17 Pro Max,Silver,"{'ROM': '256 GB ROM', 'Display': '17.53 cm (6.9 inch) Super Retina XDR Display', 'Camera': '48MP + 48MP + 48MP | 18MP Front Camera', 'Processor': 'A19 Chip, 6 Core Processor Processor', 'Warranty': 'Apple One (1) Year Limited Warranty'}",149900,,465,35
